scenario_index,gene,T,processing_mean,decay_mean,peak_fraction,dt,rise_50_change,rise_class_changed,rise_sign_changed,fall_50_change,fall_class_changed,fall_sign_changed,peak_change,max_normalized_signal_change
90,Kr,0.01,3.0,0.01,0.25,0.00025,-1.477037553290067e-08,False,False,-2.8420182246989556e-07,False,False,1.344238098228978e-07,5.739126972895137e-07
91,Kr,0.01,3.0,0.01,0.5,0.0005,9.169105971793684e-08,False,False,-1.1999023046271873e-06,False,False,5.158467286190543e-07,7.263246522004607e-07
91,Kr,0.01,3.0,0.01,0.5,0.00025,7.576232671866606e-08,False,False,-1.0007864856831361e-06,False,False,4.3219378471383296e-07,7.66972049870418e-07
92,Kr,0.01,3.0,0.01,0.75,0.0005,-3.391031939883188e-08,False,False,9.739263273460252e-09,False,False,5.6954589551516666e-09,3.1350885976166865e-07
92,Kr,0.01,3.0,0.01,0.75,0.00025,-1.6506714286233792e-08,False,False,1.7740938595793565e-08,False,False,6.620708720844748e-09,3.9408614926905727e-07
101,Kr,0.01,3.0,0.3,0.75,0.0005,-1.01933834744522e-07,False,False,6.038641281458368e-08,False,False,-5.4142100788801e-07,3.1144897461032883e-07
101,Kr,0.01,3.0,0.3,0.75,0.00025,-3.5655983537247193e-08,False,False,-6.122499076055554e-07,False,False,-2.0614963744391979e-07,5.786709912358745e-07
105,Kr,0.01,3.0,3.0,0.25,0.0005,5.6198615761005044e-08,False,False,-5.695758811263829e-07,False,False,1.3490516970193767e-07,4.5112881074532707e-07
105,Kr,0.01,3.0,3.0,0.25,0.00025,6.657883616645321e-08,False,False,-5.310907025268818e-07,False,False,-1.6740136399295835e-07,5.681730861142875e-07
106,Kr,0.01,3.0,3.0,0.5,0.0005,-2.8894424155406773e-08,False,False,-5.3473096173206613e-08,False,False,-4.955671520645577e-07,3.421969232419997e-07
106,Kr,0.01,3.0,3.0,0.5,0.00025,-5.1566131722274866e-08,False,False,1.9671181439306906e-07,False,False,-1.1062732891697902e-06,4.4498677964632805e-07
107,Kr,0.01,3.0,3.0,0.75,0.0005,-9.584064841056117e-08,False,False,-6.271172332539265e-07,False,False,-2.1837527525783718e-06,3.2696837093393327e-07
107,Kr,0.01,3.0,3.0,0.75,0.00025,-1.0613469802328579e-07,False,False,-5.091349049024529e-07,False,False,-3.4301973980757627e-06,3.919579752986735e-07
540,Kr,3.0,0.01,0.01,0.25,0.0005,1.1335433436343578e-07,False,False,-7.799346191106338e-08,False,False,-1.6944762588622098e-06,5.603862845982022e-07
540,Kr,3.0,0.01,0.01,0.25,0.00025,-2.8073708469023018e-08,False,False,-1.8606927554287722e-08,False,False,-1.7689681595101092e-06,7.005080639999051e-07
541,Kr,3.0,0.01,0.01,0.5,0.0005,1.75023237014571e-07,False,False,-4.675671538834081e-08,False,False,-4.6981452672678614e-07,3.0631417563542485e-07
541,Kr,3.0,0.01,0.01,0.5,0.00025,2.189393226714742e-07,False,False,-5.563124938490205e-08,False,False,-5.882653918432013e-07,3.829208425620845e-07
542,Kr,3.0,0.01,0.01,0.75,0.0005,4.7371367362103456e-07,False,False,1.303928520712816e-09,False,False,-3.5106197693313135e-07,9.652632478873713e-07
542,Kr,3.0,0.01,0.01,0.75,0.00025,5.000120495424198e-07,False,False,2.4791072306129536e-08,False,False,-3.81575187557992e-07,9.691884490514724e-07
555,Kr,3.0,0.01,3.0,0.25,0.0005,-4.926644225911048e-08,False,False,-4.1527723881884526e-07,False,False,-2.1273612709205025e-06,2.727226169341179e-07
555,Kr,3.0,0.01,3.0,0.25,0.00025,-2.5070198339527394e-07,False,False,-3.669900636715795e-07,False,False,-2.3509960656031836e-06,6.401017793589148e-07
556,Kr,3.0,0.01,3.0,0.5,0.0005,1.8812613689078717e-09,False,False,-5.361426733685448e-07,False,False,-9.940554086540487e-07,2.2546591321725984e-07
556,Kr,3.0,0.01,3.0,0.5,0.00025,2.021091072279546e-09,False,False,-6.271706514127118e-07,False,False,-1.2608550274961772e-06,2.8364819143478215e-07
557,Kr,3.0,0.01,3.0,0.75,0.0005,4.376934548133704e-08,False,False,-9.24099607058082e-07,False,False,-5.056722287566373e-07,4.2028728460680176e-07
557,Kr,3.0,0.01,3.0,0.75,0.00025,-1.8791523892502937e-09,False,False,-9.990606484322484e-07,False,False,-6.261606191326763e-07,5.318669407394783e-07
630,Kr,3.0,3.0,0.01,0.25,0.0005,9.019457403169895e-08,False,False,-1.33764419096849e-07,False,False,-6.809795716211653e-08,1.1524521226213835e-07
630,Kr,3.0,3.0,0.01,0.25,0.00025,1.1875219163570705e-07,False,False,-1.657954511458115e-07,False,False,-1.1606853622669888e-07,1.4633822564835697e-07
631,Kr,3.0,3.0,0.01,0.5,0.0005,1.1495613105871882e-07,False,False,-2.2825600076714636e-07,False,False,-1.5331465874623973e-08,1.3297794687616715e-07
631,Kr,3.0,3.0,0.01,0.5,0.00025,1.4686233562599682e-07,False,False,-2.8501282933746097e-07,False,False,-1.9160009578911286e-08,1.6622529719345636e-07
632,Kr,3.0,3.0,0.01,0.75,0.0005,-3.874168097439679e-09,False,False,7.193670903404836e-08,False,False,2.3023491246831895e-07,2.5430704142515026e-07
632,Kr,3.0,3.0,0.01,0.75,0.00025,5.239510492138777e-08,False,False,-2.2645218855643634e-07,False,False,4.433693012728668e-07,3.742076983836995e-07
645,Kr,3.0,3.0,3.0,0.25,0.0005,8.554179897757308e-08,False,False,-5.125442799069901e-07,False,False,2.3122069436887216e-07,1.3679898613894181e-07
645,Kr,3.0,3.0,3.0,0.25,0.00025,7.67566215031934e-08,False,False,-3.9489227976474695e-07,False,False,5.6241230117493046e-08,1.4366091738438058e-07
646,Kr,3.0,3.0,3.0,0.5,0.0005,8.00002328826821e-08,False,False,-4.884116631131974e-07,False,False,-2.2155350221098047e-08,1.3280246169422583e-07
646,Kr,3.0,3.0,3.0,0.5,0.00025,8.32950020068779e-08,False,False,-4.986056119093973e-07,False,False,-1.6594985186024758e-07,1.4145928983744227e-07
647,Kr,3.0,3.0,3.0,0.75,0.0005,-1.0366173386344713e-07,False,False,3.442865743608081e-07,False,False,-9.804925231726713e-07,1.9413741059182144e-07
647,Kr,3.0,3.0,3.0,0.75,0.00025,-8.600462408914211e-08,False,False,1.1484119610827292e-07,False,False,-8.660288197681609e-07,2.0503955455719591e-07
